feature,feature_value,shap_contribution,direction
repayment_latency_days,-2.0,-1.8612045049667358,decrease_risk
on_time_repayment_share,1.0,-0.19947168231010437,decrease_risk
loan_count,1.0,0.17090612649917603,increase_risk
emb_060,0.3436431884765625,0.12977170944213867,increase_risk
cohesion_score,0.4015554007919633,-0.07589831203222275,decrease_risk
emb_003,0.2747533917427063,0.07557474821805954,increase_risk
neighborhood_default_rate_2hop,0.06944444444444443,0.07383062690496445,increase_risk
emb_016,0.08954636752605438,0.06746707111597061,increase_risk
emb_123,0.2024340033531189,0.06407544016838074,increase_risk
emb_081,0.4615824818611145,0.06202666833996773,increase_risk
emb_127,0.02848685532808304,0.05968540534377098,increase_risk
emb_083,0.131605863571167,-0.05317406356334686,decrease_risk
emb_087,0.013583122752606869,-0.05248492956161499,decrease_risk
emb_085,0.02644266188144684,0.050673071295022964,increase_risk
emb_028,0.168979674577713,-0.04662598669528961,decrease_risk
emb_101,0.0,0.045694585889577866,increase_risk
emb_004,0.0,0.04210608825087547,increase_risk
emb_076,0.12834566831588745,-0.038365427404642105,decrease_risk
falabella_app_session_recency,10.0,-0.036486465483903885,decrease_risk
emb_077,0.009890394285321236,-0.033534303307533264,decrease_risk
emb_055,0.1818249523639679,-0.033373232930898666,decrease_risk
emb_070,0.0992579385638237,0.032998353242874146,increase_risk
emb_023,0.05399291217327118,0.032835301011800766,increase_risk
emb_109,0.31555652618408203,-0.032548461109399796,decrease_risk
call_volume_stability,0.5594,-0.02976948767900467,decrease_risk
app_opens,21.0,-0.02902855910360813,decrease_risk
betweenness_centrality,4.181957579371578e-05,-0.028867147862911224,decrease_risk
emb_043,0.2525833547115326,-0.028177695348858833,decrease_risk
emb_037,0.3053482174873352,-0.027995945885777473,decrease_risk
emb_022,0.0,0.026967618614435196,increase_risk
max_loan_amount_MXN,2870.84,0.026517264544963837,increase_risk
emb_117,0.2686045467853546,-0.025771263986825943,decrease_risk
emb_062,0.17568090558052063,-0.024853579699993134,decrease_risk
community_membership_flag,218.0,0.02389366365969181,increase_risk
emb_113,0.05308936536312103,-0.02375263161957264,decrease_risk
emb_104,0.0,-0.023461835458874702,decrease_risk
emb_057,0.3713456094264984,-0.02334320731461048,decrease_risk
emb_010,0.03770097717642784,0.02292950451374054,increase_risk
emb_120,0.0,0.022742386907339096,increase_risk
emb_108,0.35238364338874817,-0.02273627184331417,decrease_risk
routine_entropy,0.866,0.022318625822663307,increase_risk
sequential_lending_flag,0.0,0.022222131490707397,increase_risk
CoDi_wallet_flag,0.0,-0.021979887038469315,decrease_risk
emb_015,0.0,-0.021421117708086967,decrease_risk
emb_042,0.07960490137338638,0.020578108727931976,increase_risk
